
@RELATION dm_prak

@ATTRIBUTE filename string
@ATTRIBUTE class {K1, K2, K3, K4, K5, K6, K7, K8}

@DATA
K1-10.jpg, K1
K1-11.jpg, K1
K1-12.jpg, K1
K1-13.jpg, K1
K1-14.jpg, K1
K1-15.jpg, K1
K1-16.jpg, K1
K1-17.jpg, K1
K1-18.jpg, K1
K1-19.jpg, K1
K1-20.jpg, K1
K1-21.jpg, K1
K1-22.jpg, K1
K1-23.jpg, K1
K1-24.jpg, K1
K1-25.jpg, K1
K1-26.jpg, K1
K1-27.jpg, K1
K1-28.jpg, K1
K1-29.jpg, K1
K1-30.jpg, K1
K1-31.jpg, K1
K1-32.jpg, K1
K1-33.jpg, K1
K1-34.jpg, K1
K1-35.jpg, K1
K1-36.jpg, K1
K1-37.jpg, K1
K1-38.jpg, K1
K1-39.jpg, K1
K1-40.jpg, K1
K1-41.jpg, K1
K1-42.jpg, K1
K1-43.jpg, K1
K1-44.jpg, K1
K1-45.jpg, K1
K1-46.jpg, K1
K1-47.jpg, K1
K1-48.jpg, K1
K1-49.jpg, K1
K1-50.jpg, K1
K1-51.jpg, K1
K1-52.jpg, K1
K2-10.jpg, K2
K2-11.jpg, K2
K2-12.jpg, K2
K2-13.jpg, K2
K2-14.jpg, K2
K2-15.jpg, K2
K2-16.jpg, K2
K2-17.jpg, K2
K2-18.jpg, K2
K2-19.jpg, K2
K2-20.jpg, K2
K2-21.jpg, K2
K2-22.jpg, K2
K2-23.jpg, K2
K2-24.jpg, K2
K2-25.jpg, K2
K2-26.jpg, K2
K2-27.jpg, K2
K2-28.jpg, K2
K2-29.jpg, K2
K2-30.jpg, K2
K2-31.jpg, K2
K2-32.jpg, K2
K2-33.jpg, K2
K2-34.jpg, K2
K2-35.jpg, K2
K2-36.jpg, K2
K2-37.jpg, K2
K2-38.jpg, K2
K2-39.jpg, K2
K2-40.jpg, K2
K2-41.jpg, K2
K2-42.jpg, K2
K2-43.jpg, K2
K2-44.jpg, K2
K2-45.jpg, K2
K2-46.jpg, K2
K2-47.jpg, K2
K2-48.jpg, K2
K2-49.jpg, K2
K2-50.jpg, K2
K2-51.jpg, K2
K2-52.jpg, K2
K2-53.jpg, K2
K2-54.jpg, K2
K2-55.jpg, K2
K2-56.jpg, K2
K2-57.jpg, K2
K2-58.jpg, K2
K2-59.jpg, K2
K2-60.jpg, K2
K2-61.jpg, K2
K2-62.jpg, K2
K2-63.jpg, K2
K2-64.jpg, K2
K2-65.jpg, K2
K2-66.jpg, K2
K2-67.jpg, K2
K2-68.jpg, K2
K2-69.jpg, K2
K2-70.jpg, K2
K2-71.jpg, K2
K2-72.jpg, K2
K2-73.jpg, K2
K2-74.jpg, K2
K3-10.jpg, K3
K3-11.jpg, K3
K3-12.jpg, K3
K3-13.jpg, K3
K3-14.jpg, K3
K3-15.jpg, K3
K3-16.jpg, K3
K3-17.jpg, K3
K3-18.jpg, K3
K3-19.jpg, K3
K3-20.jpg, K3
K3-21.jpg, K3
K3-22.jpg, K3
K3-23.jpg, K3
K3-24.jpg, K3
K3-25.jpg, K3
K3-26.jpg, K3
K3-27.jpg, K3
K3-28.jpg, K3
K3-29.jpg, K3
K3-30.jpg, K3
K3-31.jpg, K3
K3-32.jpg, K3
K3-33.jpg, K3
K3-34.jpg, K3
K3-35.jpg, K3
K3-36.jpg, K3
K3-37.jpg, K3
